stack,sdma_enabled,ucx_rndv_thresh,pair_label,gcd_a,gcd_b,tier,num_links,run,size_bytes,bandwidth_MBps
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,4,131072,667.70
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,4,262144,665.05
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,4,524288,658.60
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,4,1048576,660.72
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,4,2097152,662.29
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,4,4194304,665.73
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,4,8388608,667.76
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,4,16777216,141864.02
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,4,33554432,147308.06
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,4,67108864,149867.02
