################# NATIVE STACK #################
--- NATIVE / HSA_ENABLE_SDMA=0 ---

################################################################
# [native sdma=0] intra_pkg_OAM0  GCD(0,1) tier=intra_pkg links=4
################################################################
  [run 1/6] warm-up — 20:20:12
  [run 1/6] warm-up done in 10s
  [run 2/6] recording — 20:20:22
  [run 2/6] done in 7s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
64                    174.59
128                   389.95
256                   434.00
512                   779.37
1024                  575.99
2048                 1151.92
4096                 2302.02
8192                 1065.48
16384                2076.17
32768                3728.84
65536                6606.68
131072              10773.47
262144              16176.80
524288              23203.96
1048576             28677.08
2097152             34781.79
4194304             37266.24
8388608             38502.21
16777216            39074.86
33554432            39186.35
67108864            39061.72
  [run 5/6] recording — 20:26:45
  [run 5/6] done in 25s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.92
2                       6.40
4                      12.91
8                      25.33
16                     52.40
32                    103.94
64                    191.07
128                   390.01
256                   444.98
512                   816.45
1024                  586.33
2048                 1172.11
4096                 2347.63
8192                 1040.20
16384                2024.29
32768                3565.11
65536                6160.07
131072              10522.76
262144              15827.34
524288              22864.91
1048576             28439.73
2097152             34702.53
4194304             37208.33
8388608             38450.07
16777216            38998.97
33554432            39114.91
67108864            39024.04
  [run 6/6] recording — 20:27:10
  [run 6/6] done in 24s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.78
2                       6.14
4                      12.18
8                      24.48
16                     49.41
32                     97.96
64                    188.97
128                   344.60
256                   427.37
512                   762.26
1024                  581.52
2048                 1156.44
4096                 2309.82
8192                 1067.94
16384                2077.12
32768                3724.86
65536                6604.20
131072              10793.97
262144              16195.19
524288              23172.52
1048576             28730.37
2097152             34809.30
4194304             37289.71
8388608             38500.42
16777216            39078.03
33554432            39201.14
67108864            39080.37

################################################################
# [native sdma=0] inter_pkg_1link_15  GCD(1,5) tier=inter_pkg_1link links=1
################################################################
  [run 1/6] warm-up — 20:27:34
  [run 1/6] warm-up done in 24s
  [run 2/6] recording — 20:27:58
  [run 2/6] done in 24s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.64
2                       5.86
4                      12.88
8                      23.25
16                     46.95
32                     90.84
64                    174.10
128                   326.09
256                   433.23
512                   779.88
1024                  581.91
2048                 1164.17
4096                 2330.29
8192                 1058.26
16384                2063.36
32768                3764.44
65536                6849.80
131072              11527.06
262144              17080.80
524288              24047.68
1048576             29433.41
2097152             35141.13
4194304             37384.65
8388608             38525.26
16777216            39046.13
33554432            39165.51
67108864            39052.52
  [run 3/6] recording — 20:28:22
  [run 3/6] done in 24s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.73
2                       5.91
4                      11.78
8                      23.41
16                     46.78
32                     90.97
64                    170.30
128                   319.25
256                   414.26
512                   780.16
1024                  584.41
2048                 1167.34
4096                 2339.37
8192                 1059.27
16384                2072.72
32768                3776.27
65536                6855.47
131072              11566.02
262144              17138.77
524288              24076.52
1048576             29335.12
2097152             35117.87
4194304             37345.16
8388608             38484.03
16777216            38954.89
33554432            39003.12
67108864            38866.50
  [run 4/6] recording — 20:28:46
srun: Step created for StepId=18633084.39
  [run 4/6] done in 24s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.57
2                       5.74
4                      11.57
8                      22.32
16                     46.62
32                     87.95
64                    172.65
128                   338.89
256                   437.47
512                   784.93
1024                  582.98
2048                 1167.73
4096                 2333.34
8192                 1063.10
16384                2073.68
32768                3784.00
65536                6849.97
131072              11583.31
262144              17133.65
524288              24064.72
1048576             29436.52
2097152             35098.75
4194304             37340.16
8388608             38496.05
16777216            39044.12
33554432            39156.20
67108864            39043.73
  [run 5/6] recording — 20:29:10
srun: Step created for StepId=18633084.40
  [run 5/6] done in 25s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.70
2                       6.01
4                      11.71
8                      23.72
16                     47.60
32                     94.72
64                    170.97
128                   336.04
256                   435.51
512                   781.98
1024                  588.52
2048                 1179.40
4096                 2357.98
8192                 1069.67
16384                2086.96
32768                3806.22
65536                6892.50
131072              11603.76
262144              17168.63
524288              24130.20
1048576             29380.97
2097152             35101.06
4194304             37346.68
8388608             38482.89
16777216            38973.27
33554432            39009.60
67108864            38868.24
  [run 6/6] recording — 20:29:35
  [run 6/6] done in 24s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.73
2                       5.66
4                      11.89
8                      23.53
16                     47.68
32                     93.68
64                    188.25
128                   355.21
256                   429.77
512                   768.99
1024                  585.11
2048                 1169.82
4096                 2350.22
8192                 1088.22
16384                2120.39
32768                3855.20
65536                6974.62
131072              11686.48
262144              17302.88
524288              24221.09
1048576             29406.33
2097152             35088.74
4194304             37327.02
8388608             38444.75
16777216            38940.03
33554432            38974.61
67108864            38851.42

################################################################
# [native sdma=0] inter_pkg_1link_37  GCD(3,7) tier=inter_pkg_1link links=1
################################################################
  [run 1/6] warm-up — 20:29:59
  [run 1/6] warm-up done in 24s
  [run 2/6] recording — 20:30:23
  [run 2/6] done in 24s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.85
2                       6.13
4                      12.55
8                      25.19
16                     52.34
32                    110.58
64                    185.77
128                   358.98
256                   439.59
512                   797.07
1024                  590.38
2048                 1183.89
4096                 2323.37
8192                  953.45
16384                1862.60
32768                3426.69
65536                6263.63
131072              10755.36
262144              16152.94
524288              23112.38
1048576             28702.12
2097152             34863.03
4194304             37237.68
8388608             38335.27
16777216            38828.63
33554432            38929.94
67108864            38847.75
  [run 3/6] recording — 20:30:47
srun: Step created for StepId=18633084.44
  [run 3/6] done in 24s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.68
2                       5.93
4                      12.03
8                      23.40
16                     47.84
32                     93.37
64                    186.01
128                   347.74
