=== CFG baseline: NCH=unset AFF=unset GDR=unset ===

# [eessi_xccl cfg=baseline] osu_xccl_allreduce
  [run 1/6] warm-up — 21:42:01
  [run 1/6] warm-up done in 18s
  [run 2/6] recording — 21:42:19
  [run 2/6] done in 6s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM Allreduce Latency Test v7.5
# Size       Avg Latency(us)
32768                  51.21
65536                  51.24
131072                 52.19
262144                 85.69
524288                109.14
1048576               121.65
  [run 3/6] recording — 21:47:48
  [run 3/6] done in 7s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM Allreduce Latency Test v7.5
# Size       Avg Latency(us)
4                      36.58
8                      36.34
16                     36.26
32                     38.22
64                     41.13
128                    46.98
256                    46.97
512                    47.43
1024                   47.64
2048                   48.09
4096                   49.30
8192                   50.48
16384                  51.59
32768                  51.15
65536                  51.55
131072                 52.23
262144                 85.52
524288                109.25
1048576               121.24
