stack,sdma_enabled,pair_label,gcd_a,gcd_b,tier,num_links,run,size_bytes,latency_us
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,6,8,0.53
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,6,16,0.50
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,6,32,0.56
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,6,64,0.65
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,6,128,0.68
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,6,256,1.16
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,6,512,1.29
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,6,1024,2.61
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,6,2048,2.58
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,6,4096,2.67
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,6,8192,16.26
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,6,16384,16.36
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,6,32768,16.97
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,6,65536,17.01
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,6,131072,17.57
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,6,262144,19.04
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,6,524288,20.49
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,6,1048576,24.52
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,6,2097152,31.86
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,6,4194304,42.97
native,0,inter_pkg_2link_06,0,6,inter_pkg_2link,2,2,1,0.50
native,0,inter_pkg_2link_06,0,6,inter_pkg_2link,2,2,2,0.53
native,0,inter_pkg_2link_06,0,6,inter_pkg_2link,2,2,4,0.52
native,0,inter_pkg_2link_06,0,6,inter_pkg_2link,2,2,8,0.54
native,0,inter_pkg_2link_06,0,6,inter_pkg_2link,2,2,16,0.55
native,0,inter_pkg_2link_06,0,6,inter_pkg_2link,2,2,32,0.58
native,0,inter_pkg_2link_06,0,6,inter_pkg_2link,2,2,64,0.63
native,0,inter_pkg_2link_06,0,6,inter_pkg_2link,2,2,128,0.67
native,0,inter_pkg_2link_06,0,6,inter_pkg_2link,2,2,256,1.16
native,0,inter_pkg_2link_06,0,6,inter_pkg_2link,2,2,512,1.31
native,0,inter_pkg_2link_06,0,6,inter_pkg_2link,2,2,1024,3.14
native,0,inter_pkg_2link_06,0,6,inter_pkg_2link,2,2,2048,3.01
native,0,inter_pkg_2link_06,0,6,inter_pkg_2link,2,2,4096,2.79
native,0,inter_pkg_2link_06,0,6,inter_pkg_2link,2,2,8192,17.18
native,0,inter_pkg_2link_06,0,6,inter_pkg_2link,2,2,16384,17.27
native,0,inter_pkg_2link_06,0,6,inter_pkg_2link,2,2,32768,17.90
native,0,inter_pkg_2link_06,0,6,inter_pkg_2link,2,2,65536,18.32
native,0,inter_pkg_2link_06,0,6,inter_pkg_2link,2,2,131072,19.26
