stack,sdma_enabled,mpich_gpu_ipc_threshold,pair_label,gcd_a,gcd_b,tier,num_links,run,size_bytes,bandwidth_MBps
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,2,1,2.74
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,2,2,6.04
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,2,4,12.00
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,2,8,24.28
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,2,16,49.04
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,2,32,91.83
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,2,64,177.80
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,2,128,299.01
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,2,256,417.35
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,2,512,760.53
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,2,1024,1189.38
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,2,2048,1706.80
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,2,4096,2268.63
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,2,8192,1091.49
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,2,16384,2174.38
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,2,32768,4055.84
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,2,65536,7874.82
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,2,131072,14782.06
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,2,262144,23372.35
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,2,524288,41402.91
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,2,1048576,61566.39
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,2,2097152,85212.16
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,2,4194304,118374.97
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,2,8388608,133048.26
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,2,16777216,142787.72
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,2,33554432,148053.80
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,2,67108864,150287.57
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,3,1,2.72
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,3,2,6.01
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,3,4,12.24
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,3,8,24.25
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,3,16,49.72
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,3,32,96.22
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,3,64,184.61
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,3,128,325.80
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,3,256,426.09
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,3,512,780.25
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,3,1024,1397.69
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,3,2048,1798.95
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,3,4096,2269.58
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,3,8192,1094.71
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,3,16384,2187.44
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,3,32768,4071.67
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,3,65536,7858.03
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,3,131072,14774.39
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,3,262144,23382.40
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,3,524288,41610.75
