######## EESSI STACK (HSA_ENABLE_SDMA=0, UCX_RNDV_THRESH=1024) ########

################################################################
# [eessi sdma=0 rndv=1024] intra_pkg_OAM0  GCD(0,1) tier=intra_pkg links=4
################################################################
  [run 1/6] warm-up — 01:00:40
  [run 1/6] warm-up done in 22s
  [run 2/6] recording — 01:01:02
  [run 2/6] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
# [eessi sdma=0 rndv=1024] inter_pkg_1link_15  GCD(1,5) tier=inter_pkg_1link links=1
################################################################
  [run 1/6] warm-up — 01:09:28
  [run 1/6] warm-up done in 27s
  [run 2/6] recording — 01:09:55
  [run 2/6] done in 26s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.86
2                       5.79
4                      12.27
8                      25.14
16                     49.88
32                    100.63
64                    188.74
128                   406.93
256                   805.60
512                    44.55
1024                  128.61
2048                  256.55
4096                  510.34
8192                  923.88
16384                1820.98
32768                3343.44
65536                6142.99
131072              10590.84
262144              15954.09
524288              22887.82
1048576             28528.67
2097152             34793.62
4194304             37174.97
8388608             38325.28
16777216            38872.77
33554432            39020.33
67108864            38933.05
  [run 3/6] recording — 01:10:21
  [run 3/6] done in 26s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.74
2                       6.02
4                      12.89
8                      26.38
16                     52.97
32                    105.82
64                    210.53
128                   413.03
256                   816.91
512                    45.36
1024                  128.33
2048                  256.68
4096                  508.26
8192                  933.13
16384                1826.94
32768                3351.22
65536                6139.24
131072              10573.27
262144              15951.64
524288              22887.29
1048576             28469.26
2097152             34784.87
4194304             37143.86
8388608             38275.77
16777216            38785.87
33554432            38874.22
67108864            38772.51
  [run 4/6] recording — 01:10:47
  [run 4/6] done in 27s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.99
2                       5.98
4                      12.73
8                      26.28
16                     52.50
32                    105.18
64                    207.99
128                   411.71
256                   805.69
512                    45.22
1024                  128.34
2048                  256.72
4096                  507.53
8192                  932.53
16384                1823.80
32768                3348.33
65536                6137.55
131072              10532.22
262144              15958.35
524288              22893.97
1048576             28527.04
2097152             34845.46
4194304             37203.61
8388608             38364.54
16777216            38880.02
33554432            39012.13
67108864            38898.29
  [run 5/6] recording — 01:11:14
  [run 5/6] done in 26s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.02
2                       6.08
4                      13.02
8                      26.65
16                     53.55
32                    106.62
64                    212.35
128                   418.43
256                   819.84
512                    45.40
1024                  127.49
2048                  256.35
4096                  501.25
8192                  928.07
16384                1819.42
32768                3338.53
65536                6138.04
131072              10547.40
262144              15926.29
524288              22870.98
1048576             28479.51
2097152             34797.88
4194304             37190.16
8388608             38329.89
16777216            38833.60
33554432            38907.14
67108864            38784.71
