################# EESSI STACK (HSA_ENABLE_SDMA=0) ##################

# [eessi sdma=0] intra_pkg_OAM0  GCD(0,1) tier=intra_pkg links=4
  [run 1/6] warm-up — 20:50:25
  [run 1/6] warm-up done in 19s
  [run 2/6] recording — 20:50:44
  [run 2/6] done in 11s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
524288              60374.62
1048576             83329.37
2097152            112266.54
4194304            132597.12
8388608            140185.10
16777216           144030.16
33554432           145226.83
67108864           145236.12

# [eessi sdma=0] inter_pkg_2link_24  GCD(2,4) tier=inter_pkg_2link links=2
  [run 1/6] warm-up — 20:55:14
  [run 1/6] warm-up done in 16s
  [run 2/6] recording — 20:55:30
  [run 2/6] done in 15s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.69
2                       7.37
4                      14.78
8                      29.52
16                     59.11
32                    109.94
64                    235.08
128                   457.27
256                    68.41
512                   134.99
1024                  273.69
2048                  545.82
4096                 1096.06
8192                 1985.76
16384                3922.60
32768                7291.80
65536               13729.90
131072              23691.38
262144              38297.03
524288              63264.44
1048576             86276.87
2097152            113846.07
4194304            133015.01
8388608            140672.72
16777216           144688.95
33554432           145588.86
67108864           145337.70
  [run 3/6] recording — 20:55:45
  [run 3/6] done in 16s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.76
2                       7.53
4                      15.08
8                      30.22
16                     60.49
32                    119.37
64                    237.55
128                   463.15
256                    69.37
512                   137.76
1024                  273.39
2048                  549.49
4096                 1089.18
8192                 2006.36
16384                3967.34
32768                7270.08
65536               13580.47
131072              23585.77
262144              38694.74
524288              63404.48
1048576             86272.12
2097152            114551.25
4194304            133184.99
8388608            140829.77
16777216           144477.96
33554432           145304.04
67108864           145002.56
  [run 4/6] recording — 20:56:01
  [run 4/6] done in 16s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.66
2                       7.36
4                      14.76
8                      29.54
16                     59.08
32                    118.05
64                    232.41
128                   453.20
256                    68.29
512                   136.87
1024                  273.69
2048                  546.46
4096                 1088.15
8192                 1992.62
16384                3944.24
32768                7281.62
65536               13589.05
131072              23490.63
262144              38225.20
524288              63188.74
1048576             86153.54
2097152            114011.42
4194304            133242.20
8388608            140922.97
16777216           144737.06
33554432           145614.71
67108864           145386.05
  [run 5/6] recording — 20:56:17
  [run 5/6] done in 16s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.76
2                       7.53
4                      15.10
8                      30.25
16                     60.40
32                    120.66
64                    237.78
128                   466.04
256                    69.26
512                   137.94
1024                  274.70
2048                  549.17
4096                 1070.45
8192                 1973.41
16384                3880.49
32768                7149.51
65536               13388.23
131072              23371.10
262144              38463.03
524288              63269.87
1048576             86250.99
2097152            114225.52
4194304            133092.03
8388608            140782.91
16777216           144524.00
33554432           145369.87
67108864           145105.10
  [run 6/6] recording — 20:56:33
  [run 6/6] done in 16s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.71
2                       7.44
4                      14.91
8                      29.91
16                     59.98
32                    111.84
64                    235.05
128                   460.14
256                    68.01
512                   136.29
1024                  273.56
2048                  545.84
4096                 1074.96
8192                 1991.70
16384                3903.86
32768                7225.21
65536               13564.11
131072              23343.00
262144              38334.82
524288              62973.38
1048576             85838.30
2097152            113621.54
4194304            133132.48
8388608            140671.59
16777216           144555.70
33554432           145519.90
67108864           145261.08

# [eessi sdma=0] inter_pkg_1link_02  GCD(0,2) tier=inter_pkg_1link links=1
  [run 1/6] warm-up — 20:56:49
  [run 1/6] warm-up done in 28s
  [run 2/6] recording — 20:57:17
  [run 2/6] done in 28s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.71
2                       7.45
4                      14.93
8                      29.89
16                     60.09
32                    120.09
64                    235.48
128                   460.93
256                    59.82
512                   114.71
1024                  224.53
2048                  447.49
4096                  902.09
8192                 1730.57
16384                3263.72
32768                5928.76
65536               10896.38
131072              19011.96
262144              29331.00
524288              42907.06
1048576             54205.80
2097152             66464.36
4194304             70996.02
8388608             72782.80
16777216            73399.64
33554432            73367.82
67108864            73049.37
  [run 3/6] recording — 20:57:45
  [run 3/6] done in 28s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.71
2                       7.43
4                      14.89
8                      29.53
16                     59.77
32                    119.21
64                    234.36
128                   457.47
256                    56.70
512                   112.26
1024                  225.31
2048                  448.83
4096                  879.84
8192                 1697.14
16384                3230.43
32768                5909.79
65536               10909.33
131072              19001.04
262144              29451.19
524288              43049.54
1048576             54255.33
2097152             66223.94
4194304             71052.20
8388608             72757.37
16777216            73268.13
33554432            73147.43
67108864            72914.00
  [run 4/6] recording — 20:58:13
  [run 4/6] done in 27s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.73
2                       7.49
4                      15.01
8                      30.11
16                     60.27
32                    119.33
64                    236.39
128                   460.64
256                    57.24
512                   111.20
1024                  221.89
2048                  445.27
4096                  875.04
8192                 1702.79
16384                3237.51
32768                6042.30
65536               10955.52
131072              19100.76
262144              29570.28
524288              43182.17
1048576             54511.61
2097152             66435.80
4194304             71044.20
8388608             72792.38
16777216            73513.69
33554432            73624.80
67108864            73342.91
  [run 5/6] recording — 20:58:40
  [run 5/6] done in 28s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.45
2                       6.87
4                      13.27
8                      26.59
16                     52.01
32                    109.95
64                    205.14
128                   424.37
256                    57.34
512                   111.61
1024                  224.13
2048                  445.58
4096                  893.20
8192                 1716.98
16384                3233.88
32768                5887.21
65536               10887.63
131072              18965.26
262144              29403.30
524288              43026.99
1048576             54255.43
2097152             66574.83
4194304             71086.06
8388608             72765.29
16777216            73361.49
33554432            73223.06
67108864            72956.19
  [run 6/6] recording — 20:59:08
  [run 6/6] done in 28s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.68
2                       7.36
4                      14.72
8                      29.48
16                     59.10
32                    118.12
64                    231.94
128                   433.45
256                    58.34
512                   114.34
1024                  223.91
2048                  444.72
4096                  886.32
8192                 1688.01
16384                3247.61
32768                5905.96
65536               10939.92
131072              19045.26
262144              29548.38
524288              43111.38
1048576             54240.00
2097152             66340.95
4194304             70970.43
8388608             72760.97
16777216            73402.24
33554432            73356.57
67108864            73055.97

# [eessi sdma=0] inter_pkg_1link_15  GCD(1,5) tier=inter_pkg_1link links=1
  [run 1/6] warm-up — 20:59:36
  [run 1/6] warm-up done in 28s
  [run 2/6] recording — 21:00:04
  [run 2/6] done in 28s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.71
2                       7.40
4                      14.85
8                      29.76
16                     59.60
32                    119.08
64                    233.98
128                   456.12
256                    60.92
512                   122.49
1024                  243.84
2048                  487.29
4096                  956.03
8192                 1782.24
16384                3488.12
32768                6418.19
65536               11808.89
131072              20420.69
262144              30947.31
524288              44729.45
1048576             55464.80
2097152             67313.62
4194304             71565.09
8388608             73143.17
16777216            73776.51
33554432            73647.09
67108864            73228.27
  [run 3/6] recording — 21:00:32
  [run 3/6] done in 27s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.68
2                       7.42
4                      14.88
8                      29.67
16                     59.52
32                    119.00
64                    233.57
128                   456.31
256                    61.55
512                   124.60
1024                  249.20
2048                  493.81
4096                  981.82
8192                 1813.60
16384                3567.27
32768                6545.41
65536               11987.03
131072              20720.77
262144              31266.65
524288              44999.55
1048576             55898.52
2097152             67454.23
4194304             71589.03
8388608             73142.95
16777216            73644.02
33554432            73429.66
67108864            73099.66
  [run 4/6] recording — 21:00:59
  [run 4/6] done in 28s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.76
2                       7.53
4                      15.09
8                      30.21
16                     60.41
32                    120.61
64                    237.18
128                   462.82
256                    61.15
512                   122.41
1024                  247.19
2048                  494.97
4096                  977.15
8192                 1809.07
16384                3534.03
32768                6505.29
65536               11957.30
131072              20560.38
262144              31203.47
524288              44857.33
1048576             55726.38
2097152             67313.38
4194304             71555.91
8388608             73088.08
16777216            73654.21
33554432            73485.74
67108864            73143.47
  [run 5/6] recording — 21:01:27
  [run 5/6] done in 28s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.75
2                       7.52
4                      15.02
8                      30.01
16                     60.39
32                    119.63
64                    237.01
128                   461.84
256                    62.24
512                   124.47
1024                  248.88
2048                  493.69
4096                  968.38
8192                 1800.21
16384                3526.60
32768                6490.20
65536               11921.60
131072              20509.23
262144              31191.43
524288              44893.51
1048576             55835.72
2097152             67446.89
4194304             71606.70
8388608             73093.44
16777216            73577.09
33554432            73391.88
67108864            73073.09
  [run 6/6] recording — 21:01:55
  [run 6/6] done in 27s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.73
2                       7.45
4                      14.96
8                      29.98
16                     60.24
32                    113.82
64                    236.62
128                   462.26
256                    61.32
512                   124.17
1024                  247.34
2048                  494.56
4096                  969.40
8192                 1797.18
16384                3521.49
32768                6477.24
65536               11873.21
131072              20415.08
262144              31142.08
524288              44819.12
1048576             55567.17
2097152             67240.57
4194304             71512.78
8388608             73079.91
16777216            73632.24
33554432            73459.12
67108864            73107.56

# [eessi sdma=0] inter_pkg_1link_37  GCD(3,7) tier=inter_pkg_1link links=1
  [run 1/6] warm-up — 21:02:22
  [run 1/6] warm-up done in 28s
  [run 2/6] recording — 21:02:50
  [run 2/6] done in 27s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.66
2                       7.33
4                      14.67
8                      29.38
16                     58.96
32                    117.65
64                    231.18
128                   450.91
256                    64.75
512                   130.09
1024                  257.61
2048                  514.25
4096                 1016.24
8192                 1881.38
16384                3689.91
32768                6756.01
65536               12337.37
131072              21235.53
262144              32075.16
524288              45756.91
1048576             56364.45
2097152             67297.69
4194304             71481.70
8388608             73783.93
16777216            74620.03
33554432            74484.31
67108864            73916.06
  [run 3/6] recording — 21:03:17
  [run 3/6] done in 28s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.67
2                       7.34
4                      14.71
8                      29.45
16                     58.92
32                    117.58
64                    231.56
128                   451.71
256                    64.66
512                   129.26
1024                  255.81
2048                  506.71
4096                 1013.31
8192                 1862.56
16384                3613.11
32768                6663.38
65536               12265.28
131072              21146.71
262144              31968.35
524288              45471.37
1048576             56210.70
2097152             67168.88
4194304             71460.85
8388608             73768.89
16777216            74463.05
33554432            74306.28
67108864            73840.75
  [run 4/6] recording — 21:03:45
  [run 4/6] done in 27s

