################# NATIVE STACK (HSA_ENABLE_SDMA=0) #################

# [native sdma=0] intra_pkg_OAM0  GCD(0,1) tier=intra_pkg links=4
  [run 1/6] warm-up — 20:50:27
  [run 1/6] warm-up done in 9s
  [run 2/6] recording — 20:50:36
  [run 2/6] done in 8s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.60
2                       9.17
4                      18.33
8                      36.72
16                     73.18
32                    140.73
64                    272.65
128                   530.22
256                   522.52
512                   933.28
1024                  896.95
2048                 1781.14
4096                 3479.88
8192                 1987.54
16384                3872.14
32768                6797.75
65536               11986.22
131072              20655.67
262144              31409.42
524288              45163.01
1048576             55804.26
2097152             67016.75
4194304             71300.75
8388608             73192.24
16777216            73772.98
33554432            73550.65
67108864            73165.26
  [run 3/6] recording — 20:56:27
  [run 3/6] done in 25s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.66
2                       9.13
4                      18.82
8                      37.81
16                     75.39
32                    143.48
64                    282.04
128                   547.06
256                   528.23
512                   944.76
1024                  893.33
2048                 1778.60
4096                 3485.85
8192                 2002.17
16384                3888.50
32768                6954.43
65536               12101.56
131072              20507.24
262144              31306.18
524288              44954.72
1048576             55553.18
2097152             66533.30
4194304             71141.29
8388608             73123.20
16777216            73783.07
33554432            73733.87
67108864            73353.47
  [run 4/6] recording — 20:56:53
  [run 4/6] done in 25s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.57
2                       9.12
4                      18.20
8                      36.47
16                     72.38
32                    141.52
64                    271.09
128                   527.88
256                   524.49
512                   934.30
1024                  899.69
2048                 1776.05
4096                 3471.54
8192                 2006.22
16384                3892.11
32768                6991.37
65536               12373.67
131072              20665.69
262144              31428.52
524288              45256.90
1048576             55866.26
2097152             66971.97
4194304             71272.29
8388608             73195.72
16777216            73802.07
33554432            73579.97
67108864            73179.31
  [run 5/6] recording — 20:57:18
srun: Step created for StepId=18634054.34
  [run 5/6] done in 26s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.82
2                       9.40
4                      18.93
8                      38.02
16                     75.37
32                    146.91
64                    284.32
128                   547.77
256                   534.76
512                   950.92
1024                  904.47
2048                 1791.29
4096                 3491.64
8192                 2039.80
16384                3958.61
32768                7054.96
65536               12253.35
131072              21084.95
262144              31737.09
524288              45520.68
1048576             55991.09
2097152             67012.20
4194304             71330.35
8388608             73215.66
16777216            73834.04
33554432            73745.73
67108864            73382.07
  [run 6/6] recording — 20:57:44
  [run 6/6] done in 25s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.61
2                       9.09
4                      18.33
8                      36.47
16                     72.90
32                    141.45
64                    270.68
128                   529.88
256                   518.19
512                   927.92
1024                  905.65
2048                 1796.08
4096                 3500.97
8192                 1998.07
16384                3908.84
32768                6967.20
65536               12124.68
131072              20626.20
262144              31438.50
524288              45235.55
1048576             55859.63
2097152             66973.80
4194304             71306.50
8388608             73179.33
16777216            73773.20
33554432            73570.92
67108864            73180.61

# [native sdma=0] inter_pkg_1link_15  GCD(1,5) tier=inter_pkg_1link links=1
  [run 1/6] warm-up — 20:58:09
  [run 1/6] warm-up done in 25s
  [run 2/6] recording — 20:58:34
  [run 2/6] done in 25s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.60
2                       9.09
4                      18.14
8                      36.52
16                     73.09
32                    141.44
64                    272.56
128                   522.93
256                   519.55
512                   930.65
1024                  891.90
2048                 1759.97
4096                 3445.66
8192                 2085.12
16384                4089.87
32768                7430.24
65536               13469.40
131072              22827.31
262144              33796.63
524288              47416.00
1048576             57605.63
2097152             67820.00
4194304             71745.41
8388608             73472.74
16777216            74171.43
33554432            74070.97
67108864            73596.93
  [run 3/6] recording — 20:58:59
  [run 3/6] done in 26s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.53
2                       8.97
4                      17.23
8                      35.87
16                     68.73
32                    138.79
64                    268.77
128                   518.17
256                   522.68
512                   912.92
1024                  905.43
2048                 1793.08
4096                 3503.93
8192                 2086.57
16384                4073.55
32768                7376.83
65536               13411.93
131072              22756.59
262144              33694.06
524288              47372.16
1048576             57679.15
2097152             67899.29
4194304             71785.15
8388608             73452.96
16777216            73948.86
33554432            73676.30
67108864            73248.52
  [run 4/6] recording — 20:59:25
  [run 4/6] done in 25s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
