stack,sdma_enabled,config_label,nccl_nchannels,nccl_ignore_aff,nccl_net_gdr,benchmark,num_gcds,run,size_bytes,latency_us
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,4,131072,52.52
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,4,262144,85.08
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,4,524288,108.69
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,4,1048576,120.67
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,5,4,37.93
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,5,8,36.54
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,5,16,36.41
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,5,32,38.26
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,5,64,41.33
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,5,128,47.25
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,5,256,47.26
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,5,512,47.56
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,5,1024,48.08
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,5,2048,48.84
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,5,4096,49.56
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,5,8192,50.86
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,5,16384,52.02
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,5,32768,51.63
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,5,65536,51.46
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,5,131072,52.32
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,5,262144,85.76
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,5,524288,109.35
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,5,1048576,121.61
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,6,4,37.37
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,6,8,37.01
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,6,16,36.96
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,6,32,38.73
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,6,64,41.98
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,6,128,47.01
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,6,256,47.10
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,6,512,47.41
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,6,1024,47.87
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,6,2048,48.70
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,6,4096,49.29
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,6,8192,50.58
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,6,16384,51.79
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,6,32768,51.86
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,6,65536,52.31
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,6,131072,52.77
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,6,262144,83.98
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,6,524288,107.34
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,6,1048576,119.26
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_alltoall,8,2,1,84.12
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_alltoall,8,2,2,84.01
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_alltoall,8,2,4,84.17
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_alltoall,8,2,8,84.61
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_alltoall,8,2,16,84.53
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_alltoall,8,2,32,84.83
