
################################################################
# intra_pkg_OAM0   GCD(0,1)   tier=intra_pkg   num_links=4
# Hypothesis: intra-package, 4 links, ~100 GB/s uni
################################################################
  [run 1] warm-up — output discarded
  [run 2] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1024                  577.01
2048                 1154.37
4096                 2312.66
8192                  979.97
16384                1964.91
32768                3819.74
65536                7341.61
131072              13780.61
262144              23501.59
524288              37497.73
1048576             51478.23
2097152             62455.79
4194304             68331.59
  [run 6] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.01
2                       6.64
4                      13.35
8                      27.08
16                     54.95
32                    109.26
64                    210.59
128                   368.21
256                   449.02
512                   805.65
1024                  574.41
2048                 1150.25
4096                 2298.58
8192                  985.25
16384                1974.10
32768                3839.57
65536                7352.79
131072              13752.86
262144              23498.34
524288              37505.38
1048576             51542.18
2097152             62439.28
4194304             68393.28

################################################################
# inter_pkg_1link_02   GCD(0,2)   tier=inter_pkg_1link   num_links=1
# Hypothesis: inter-package, 1 link, ~35 GB/s uni
################################################################
  [run 1] warm-up — output discarded
  [run 2] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.81
2                       6.31
4                      12.44
8                      24.91
16                     50.70
32                     99.34
64                    191.28
128                   367.74
256                   411.37
512                   782.59
1024                  575.11
2048                 1144.77
4096                 2289.11
8192                 1470.63
16384                2816.81
32768                5261.40
65536                9413.49
131072              15121.83
262144              21412.77
524288              27532.78
1048576             31961.56
2097152             34482.73
4194304             35478.38
  [run 3] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.69
2                       6.02
4                      12.07
8                      24.47
16                     49.31
32                     96.23
64                    170.11
128                   307.64
256                   429.31
512                   781.79
1024                  565.21
2048                 1130.83
4096                 2268.42
8192                 1466.50
16384                2812.17
32768                5298.94
65536                9426.94
131072              15164.04
262144              21440.69
524288              27519.26
1048576             31964.08
2097152             34470.97
4194304             35431.05
  [run 4] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.78
2                       6.26
4                      12.36
8                      25.18
16                     50.89
32                     99.61
64                    191.85
128                   362.29
256                   428.82
512                   767.17
1024                  571.57
2048                 1141.48
4096                 2291.01
8192                 1465.41
16384                2815.74
32768                5241.00
65536                9416.88
131072              15073.97
262144              21451.36
524288              27467.29
1048576             31923.95
2097152             34480.35
4194304             35489.46
  [run 5] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.68
2                       6.06
4                      12.09
8                      24.04
16                     47.99
32                     97.56
64                    188.24
128                   298.36
256                   420.71
512                   769.70
1024                  567.89
2048                 1137.66
4096                 2274.60
8192                 1466.74
16384                2805.95
32768                5220.79
65536                9410.65
131072              15120.97
262144              21424.21
524288              27541.10
1048576             31971.10
2097152             34471.62
4194304             35474.08
  [run 6] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.79
2                       6.23
4                      12.40
8                      24.81
16                     50.21
32                     99.12
64                    191.77
128                   344.21
256                   426.69
512                   785.42
1024                  571.91
2048                 1146.47
4096                 2290.38
8192                 1465.79
16384                2814.88
32768                5237.45
65536                9434.73
131072              15207.57
262144              21460.97
524288              27533.96
1048576             31992.98
2097152             34483.46
4194304             35476.72

################################################################
# inter_pkg_1link_13   GCD(1,3)   tier=inter_pkg_1link   num_links=1
# Hypothesis: inter-package, 1 link, ~35 GB/s uni
################################################################
  [run 1] warm-up — output discarded
  [run 2] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.77
2                       6.13
4                      12.15
8                      24.41
16                     50.35
32                     97.25
64                    173.95
128                   331.56
256                   426.79
512                   765.76
1024                  560.92
2048                 1124.07
4096                 2249.89
8192                 1481.94
16384                2827.74
32768                5326.56
65536                9502.65
131072              15258.40
262144              21541.77
524288              27628.17
1048576             32005.54
2097152             34524.78
4194304             35496.55
  [run 3] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.70
2                       6.18
4                      11.97
8                      24.38
16                     48.96
32                     97.52
64                    191.62
128                   357.09
256                   430.52
512                   781.51
1024                  561.84
2048                 1126.43
4096                 2225.83
8192                 1481.74
16384                2825.50
32768                5269.06
65536                9463.22
131072              15267.81
262144              21510.46
524288              27577.55
1048576             32049.81
